"protein1","protein2","combined_score","protein1_alias","protein2_alias"
"9606.ENSP00000376345","9606.ENSP00000257290",807,"PDGFRA","GRB2"
"9606.ENSP00000376345","9606.ENSP00000405338",957,"INPP5D","GRB2"
"9606.ENSP00000376345","9606.ENSP00000362680",993,"SRC","GRB2"
"9606.ENSP00000376345","9606.ENSP00000391592",844,"PTPN6","GRB2"
"9606.ENSP00000376345","9606.ENSP00000499900",806,"JAK1","GRB2"
"9606.ENSP00000376943","9606.ENSP00000358022",999,"MCL1","BCL2L11"
"9606.ENSP00000376943","9606.ENSP00000365230",999,"BCL2L1","BCL2L11"
"9606.ENSP00000376943","9606.ENSP00000381185",997,"BCL2","BCL2L11"
"9606.ENSP00000378974","9606.ENSP00000394560",986,"MAPK9","MAPK8"
"9606.ENSP00000378974","9606.ENSP00000346300",926,"CRKL","MAPK8"
"9606.ENSP00000378974","9606.ENSP00000300574",957,"CRK","MAPK8"
"9606.ENSP00000379350","9606.ENSP00000346839",999,"FN1","ITGB1"
"9606.ENSP00000379350","9606.ENSP00000341189",936,"PTK2","ITGB1"
"9606.ENSP00000379350","9606.ENSP00000275493",903,"EGFR","ITGB1"
"9606.ENSP00000379350","9606.ENSP00000452786",984,"ITGB3","ITGB1"
"9606.ENSP00000379350","9606.ENSP00000494750",957,"ACTB","ITGB1"
"9606.ENSP00000379873","9606.ENSP00000320866",993,"CALR","HLA-A"
"9606.ENSP00000379873","9606.ENSP00000375608",998,"KIR3DL1","HLA-A"
"9606.ENSP00000379873","9606.ENSP00000386559",998,"CD8A","HLA-A"
"9606.ENSP00000380070","9606.ENSP00000437125",906,"HSPA8","GAPDH"
"9606.ENSP00000380638","9606.ENSP00000428924",872,"LYN","PTK2B"
"9606.ENSP00000380638","9606.ENSP00000346300",900,"CRKL","PTK2B"
"9606.ENSP00000380638","9606.ENSP00000264033",827,"CBL","PTK2B"
"9606.ENSP00000380638","9606.ENSP00000376345",848,"GRB2","PTK2B"
"9606.ENSP00000380638","9606.ENSP00000341189",982,"PTK2","PTK2B"
"9606.ENSP00000380638","9606.ENSP00000300574",929,"CRK","PTK2B"
"9606.ENSP00000380638","9606.ENSP00000362680",990,"SRC","PTK2B"
"9606.ENSP00000381185","9606.ENSP00000365230",999,"BCL2L1","BCL2"
"9606.ENSP00000381185","9606.ENSP00000376943",997,"BCL2L11","BCL2"
"9606.ENSP00000381185","9606.ENSP00000407586",873,"HRAS","BCL2"
"9606.ENSP00000381185","9606.ENSP00000269305",999,"TP53","BCL2"
"9606.ENSP00000381185","9606.ENSP00000448165",934,"APAF1","BCL2"
"9606.ENSP00000384849","9606.ENSP00000481380",993,"CCNA2","CDKN1A"
"9606.ENSP00000384849","9606.ENSP00000339527",986,"FOXO3","CDKN1A"
"9606.ENSP00000384849","9606.ENSP00000227507",999,"CCND1","CDKN1A"
"9606.ENSP00000384849","9606.ENSP00000427514",926,"CEBPA","CDKN1A"
"9606.ENSP00000384849","9606.ENSP00000266970",997,"CDK2","CDKN1A"
"9606.ENSP00000384849","9606.ENSP00000335153",828,"HSP90AA1","CDKN1A"
"9606.ENSP00000384849","9606.ENSP00000261254",840,"CCND2","CDKN1A"
"9606.ENSP00000385675","9606.ENSP00000226730",982,"IL2","IL6"
"9606.ENSP00000385675","9606.ENSP00000371067",834,"JAK2","IL6"
"9606.ENSP00000385675","9606.ENSP00000499900",871,"JAK1","IL6"
"9606.ENSP00000385675","9606.ENSP00000296870",975,"IL3","IL6"
"9606.ENSP00000385675","9606.ENSP00000275493",806,"EGFR","IL6"
"9606.ENSP00000386559","9606.ENSP00000011653",900,"CD4","CD8A"
"9606.ENSP00000386559","9606.ENSP00000477713",999,"LCK","CD8A"
"9606.ENSP00000386559","9606.ENSP00000379873",998,"HLA-A","CD8A"
"9606.ENSP00000387699","9606.ENSP00000436786",900,"KMT2A","CREB1"
"9606.ENSP00000387699","9606.ENSP00000269305",987,"TP53","CREB1"
"9606.ENSP00000387699","9606.ENSP00000262367",999,"CREBBP","CREB1"
"9606.ENSP00000391592","9606.ENSP00000489597",947,"PTPN11","PTPN6"
"9606.ENSP00000391592","9606.ENSP00000478763",845,"SIRPA","PTPN6"
"9606.ENSP00000391592","9606.ENSP00000497102",936,"CTLA4","PTPN6"
"9606.ENSP00000391592","9606.ENSP00000499900",806,"JAK1","PTPN6"
"9606.ENSP00000391592","9606.ENSP00000376345",844,"GRB2","PTPN6"
"9606.ENSP00000391592","9606.ENSP00000371067",835,"JAK2","PTPN6"
"9606.ENSP00000394560","9606.ENSP00000300574",900,"CRK","MAPK9"
"9606.ENSP00000394560","9606.ENSP00000378974",986,"MAPK8","MAPK9"
"9606.ENSP00000394560","9606.ENSP00000346300",900,"CRKL","MAPK9"
"9606.ENSP00000401303","9606.ENSP00000215832",870,"MAPK1","SHC1"
"9606.ENSP00000401303","9606.ENSP00000362680",997,"SRC","SHC1"
"9606.ENSP00000401303","9606.ENSP00000346300",844,"CRKL","SHC1"
"9606.ENSP00000401303","9606.ENSP00000216341",947,"GZMB","SHC1"
"9606.ENSP00000401303","9606.ENSP00000300574",888,"CRK","SHC1"
"9606.ENSP00000401303","9606.ENSP00000275493",997,"EGFR","SHC1"
"9606.ENSP00000401303","9606.ENSP00000269571",997,"ERBB2","SHC1"
"9606.ENSP00000401303","9606.ENSP00000361423",839,"ABL1","SHC1"
"9606.ENSP00000401303","9606.ENSP00000489597",995,"PTPN11","SHC1"
"9606.ENSP00000401303","9606.ENSP00000354952",988,"GAB2","SHC1"
"9606.ENSP00000401303","9606.ENSP00000428924",868,"LYN","SHC1"
"9606.ENSP00000401303","9606.ENSP00000341189",907,"PTK2","SHC1"
"9606.ENSP00000401303","9606.ENSP00000452786",961,"ITGB3","SHC1"
"9606.ENSP00000401303","9606.ENSP00000264033",963,"CBL","SHC1"
"9606.ENSP00000401303","9606.ENSP00000354207",803,"NTRK3","SHC1"
"9606.ENSP00000401303","9606.ENSP00000431418",997,"NTRK1","SHC1"
"9606.ENSP00000401303","9606.ENSP00000373700",922,"ALK","SHC1"
"9606.ENSP00000401303","9606.ENSP00000376345",999,"GRB2","SHC1"
"9606.ENSP00000401303","9606.ENSP00000371067",902,"JAK2","SHC1"
"9606.ENSP00000401303","9606.ENSP00000405338",909,"INPP5D","SHC1"
"9606.ENSP00000401303","9606.ENSP00000222139",870,"EPOR","SHC1"
"9606.ENSP00000401888","9606.ENSP00000215832",813,"MAPK1","RAF1"
"9606.ENSP00000401888","9606.ENSP00000256078",981,"KRAS","RAF1"
"9606.ENSP00000401888","9606.ENSP00000358548",904,"NRAS","RAF1"
"9606.ENSP00000401888","9606.ENSP00000407586",998,"HRAS","RAF1"
"9606.ENSP00000401888","9606.ENSP00000362680",926,"SRC","RAF1"
"9606.ENSP00000401888","9606.ENSP00000419060",999,"BRAF","RAF1"
"9606.ENSP00000405338","9606.ENSP00000428924",950,"LYN","INPP5D"
"9606.ENSP00000405338","9606.ENSP00000376345",957,"GRB2","INPP5D"
"9606.ENSP00000405338","9606.ENSP00000401303",909,"SHC1","INPP5D"
"9606.ENSP00000407586","9606.ENSP00000419260",953,"PIK3CG","HRAS"
"9606.ENSP00000407586","9606.ENSP00000362680",900,"SRC","HRAS"
"9606.ENSP00000407586","9606.ENSP00000351015",809,"NF1","HRAS"
"9606.ENSP00000407586","9606.ENSP00000381185",873,"BCL2","HRAS"
"9606.ENSP00000407586","9606.ENSP00000256078",991,"KRAS","HRAS"
"9606.ENSP00000407586","9606.ENSP00000401888",998,"RAF1","HRAS"
"9606.ENSP00000407586","9606.ENSP00000419060",908,"BRAF","HRAS"
"9606.ENSP00000407586","9606.ENSP00000358548",930,"NRAS","HRAS"
"9606.ENSP00000407586","9606.ENSP00000274376",999,"RASA1","HRAS"
"9606.ENSP00000411355","9606.ENSP00000477713",984,"LCK","PTPRC"
"9606.ENSP00000413720","9606.ENSP00000266970",968,"CDK2","CDKN1C"
"9606.ENSP00000413720","9606.ENSP00000227507",965,"CCND1","CDKN1C"
"9606.ENSP00000413720","9606.ENSP00000261254",965,"CCND2","CDKN1C"
"9606.ENSP00000413720","9606.ENSP00000481380",919,"CCNA2","CDKN1C"
"9606.ENSP00000415151","9606.ENSP00000300305",999,"RUNX1","CBFB"
"9606.ENSP00000419060","9606.ENSP00000407586",908,"HRAS","BRAF"
"9606.ENSP00000419060","9606.ENSP00000401888",999,"RAF1","BRAF"
"9606.ENSP00000419060","9606.ENSP00000335153",938,"HSP90AA1","BRAF"
"9606.ENSP00000419060","9606.ENSP00000256078",833,"KRAS","BRAF"
"9606.ENSP00000419260","9606.ENSP00000428924",808,"LYN","PIK3CG"
"9606.ENSP00000419260","9606.ENSP00000407586",953,"HRAS","PIK3CG"
"9606.ENSP00000419260","9606.ENSP00000358548",828,"NRAS","PIK3CG"
"9606.ENSP00000427514","9606.ENSP00000384849",926,"CDKN1A","CEBPA"
"9606.ENSP00000427514","9606.ENSP00000266970",981,"CDK2","CEBPA"
"9606.ENSP00000427514","9606.ENSP00000269305",805,"TP53","CEBPA"
"9606.ENSP00000427514","9606.ENSP00000305422",979,"CEBPB","CEBPA"
"9606.ENSP00000427562","9606.ENSP00000361423",976,"ABL1","ABL2"
"9606.ENSP00000428924","9606.ENSP00000264657",841,"STAT3","LYN"
"9606.ENSP00000428924","9606.ENSP00000401303",868,"SHC1","LYN"
"9606.ENSP00000428924","9606.ENSP00000371067",907,"JAK2","LYN"
"9606.ENSP00000428924","9606.ENSP00000499900",800,"JAK1","LYN"
"9606.ENSP00000428924","9606.ENSP00000313419",962,"CD19","LYN"
"9606.ENSP00000428924","9606.ENSP00000264033",894,"CBL","LYN"
"9606.ENSP00000428924","9606.ENSP00000365012",978,"HCK","LYN"
"9606.ENSP00000428924","9606.ENSP00000380638",872,"PTK2B","LYN"
"9606.ENSP00000428924","9606.ENSP00000222139",852,"EPOR","LYN"
"9606.ENSP00000428924","9606.ENSP00000288135",879,"KIT","LYN"
"9606.ENSP00000428924","9606.ENSP00000405338",950,"INPP5D","LYN"
"9606.ENSP00000428924","9606.ENSP00000362195",852,"CSF3R","LYN"
"9606.ENSP00000428924","9606.ENSP00000477713",882,"LCK","LYN"
"9606.ENSP00000428924","9606.ENSP00000419260",808,"PIK3CG","LYN"
"9606.ENSP00000428924","9606.ENSP00000362680",983,"SRC","LYN"
"9606.ENSP00000431418","9606.ENSP00000361423",943,"ABL1","NTRK1"
"9606.ENSP00000431418","9606.ENSP00000495951",982,"KITLG","NTRK1"
"9606.ENSP00000431418","9606.ENSP00000401303",997,"SHC1","NTRK1"
"9606.ENSP00000431418","9606.ENSP00000376345",981,"GRB2","NTRK1"
"9606.ENSP00000433642","9606.ENSP00000313419",972,"CD19","FCGR3B"
"9606.ENSP00000433642","9606.ENSP00000262262",832,"CD33","FCGR3B"
"9606.ENSP00000436786","9606.ENSP00000387699",900,"CREB1","KMT2A"
"9606.ENSP00000436786","9606.ENSP00000262367",967,"CREBBP","KMT2A"
"9606.ENSP00000437125","9606.ENSP00000380070",906,"GAPDH","HSPA8"
"9606.ENSP00000437125","9606.ENSP00000335153",997,"HSP90AA1","HSPA8"
"9606.ENSP00000437125","9606.ENSP00000494750",839,"ACTB","HSPA8"
"9606.ENSP00000437125","9606.ENSP00000302961",996,"HSPA4","HSPA8"
"9606.ENSP00000437125","9606.ENSP00000269305",920,"TP53","HSPA8"
"9606.ENSP00000437125","9606.ENSP00000227507",913,"CCND1","HSPA8"
"9606.ENSP00000448165","9606.ENSP00000302961",990,"HSPA4","APAF1"
"9606.ENSP00000448165","9606.ENSP00000311032",947,"CASP3","APAF1"
"9606.ENSP00000448165","9606.ENSP00000335153",986,"HSP90AA1","APAF1"
"9606.ENSP00000448165","9606.ENSP00000365230",974,"BCL2L1","APAF1"
"9606.ENSP00000448165","9606.ENSP00000330237",999,"CASP9","APAF1"
"9606.ENSP00000448165","9606.ENSP00000381185",934,"BCL2","APAF1"
"9606.ENSP00000451828","9606.ENSP00000302961",878,"HSPA4","AKT1"
"9606.ENSP00000451828","9606.ENSP00000362680",981,"SRC","AKT1"
"9606.ENSP00000451828","9606.ENSP00000335153",997,"HSP90AA1","AKT1"
"9606.ENSP00000452786","9606.ENSP00000346839",999,"FN1","ITGB3"
"9606.ENSP00000452786","9606.ENSP00000494750",901,"ACTB","ITGB3"
"9606.ENSP00000452786","9606.ENSP00000362680",955,"SRC","ITGB3"
"9606.ENSP00000452786","9606.ENSP00000379350",984,"ITGB1","ITGB3"
"9606.ENSP00000452786","9606.ENSP00000341189",933,"PTK2","ITGB3"
"9606.ENSP00000452786","9606.ENSP00000401303",961,"SHC1","ITGB3"
"9606.ENSP00000466090","9606.ENSP00000225275",984,"MPO","ELANE"
"9606.ENSP00000466090","9606.ENSP00000234347",985,"PRTN3","ELANE"
"9606.ENSP00000477713","9606.ENSP00000011653",999,"CD4","LCK"
"9606.ENSP00000477713","9606.ENSP00000376345",964,"GRB2","LCK"
"9606.ENSP00000477713","9606.ENSP00000386559",999,"CD8A","LCK"
"9606.ENSP00000477713","9606.ENSP00000264033",854,"CBL","LCK"
"9606.ENSP00000477713","9606.ENSP00000365012",862,"HCK","LCK"
"9606.ENSP00000477713","9606.ENSP00000428924",882,"LYN","LCK"
"9606.ENSP00000477713","9606.ENSP00000362680",867,"SRC","LCK"
"9606.ENSP00000477713","9606.ENSP00000411355",984,"PTPRC","LCK"
"9606.ENSP00000477713","9606.ENSP00000264657",906,"STAT3","LCK"
"9606.ENSP00000477908","9606.ENSP00000343952",939,"CCR6","CCL3"
"9606.ENSP00000477908","9606.ENSP00000246657",857,"CCR7","CCL3"
"9606.ENSP00000478763","9606.ENSP00000489597",996,"PTPN11","SIRPA"
"9606.ENSP00000478763","9606.ENSP00000391592",845,"PTPN6","SIRPA"
"9606.ENSP00000478763","9606.ENSP00000376345",844,"GRB2","SIRPA"
"9606.ENSP00000478887","9606.ENSP00000335153",911,"HSP90AA1","MYC"
"9606.ENSP00000478887","9606.ENSP00000264709",977,"DNMT3A","MYC"
"9606.ENSP00000478887","9606.ENSP00000269305",958,"TP53","MYC"
"9606.ENSP00000479536","9606.ENSP00000234347",982,"PRTN3","CD177"
"9606.ENSP00000481249","9606.ENSP00000330341",943,"SOCS3","SOCS2"
"9606.ENSP00000481249","9606.ENSP00000496577",940,"SOCS1","SOCS2"
"9606.ENSP00000481249","9606.ENSP00000222139",879,"EPOR","SOCS2"
"9606.ENSP00000481249","9606.ENSP00000241453",810,"FLT3","SOCS2"
"9606.ENSP00000481380","9606.ENSP00000413720",919,"CDKN1C","CCNA2"
"9606.ENSP00000481380","9606.ENSP00000269305",974,"TP53","CCNA2"
"9606.ENSP00000481380","9606.ENSP00000384849",993,"CDKN1A","CCNA2"
"9606.ENSP00000481380","9606.ENSP00000266970",999,"CDK2","CCNA2"
"9606.ENSP00000485129","9606.ENSP00000497102",957,"CTLA4","ICOSLG"
"9606.ENSP00000489597","9606.ENSP00000401303",995,"SHC1","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000376345",999,"GRB2","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000391592",947,"PTPN6","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000264657",915,"STAT3","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000354952",997,"GAB2","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000478763",996,"SIRPA","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000341208",921,"STAT5A","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000371067",946,"JAK2","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000360683",900,"PTPN1","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000354394",902,"STAT1","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000341189",801,"PTK2","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000300305",900,"RUNX1","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000257290",911,"PDGFRA","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000497102",981,"CTLA4","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000275493",993,"EGFR","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000261799",972,"PDGFRB","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000362680",996,"SRC","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000293328",882,"STAT5B","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000499900",841,"JAK1","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000346300",856,"CRKL","PTPN11"
"9606.ENSP00000489597","9606.ENSP00000269571",831,"ERBB2","PTPN11"
"9606.ENSP00000494504","9606.ENSP00000225474",900,"CSF3","THPO"
"9606.ENSP00000494504","9606.ENSP00000252723",900,"EPO","THPO"
"9606.ENSP00000494504","9606.ENSP00000361548",998,"MPL","THPO"
"9606.ENSP00000494750","9606.ENSP00000379350",957,"ITGB1","ACTB"
"9606.ENSP00000494750","9606.ENSP00000335153",821,"HSP90AA1","ACTB"
"9606.ENSP00000494750","9606.ENSP00000452786",901,"ITGB3","ACTB"
"9606.ENSP00000494750","9606.ENSP00000437125",839,"HSPA8","ACTB"
"9606.ENSP00000495360","9606.ENSP00000265165",999,"LEF1","CTNNB1"
"9606.ENSP00000495360","9606.ENSP00000275493",821,"EGFR","CTNNB1"
"9606.ENSP00000495360","9606.ENSP00000264033",806,"CBL","CTNNB1"
"9606.ENSP00000495360","9606.ENSP00000362680",953,"SRC","CTNNB1"
"9606.ENSP00000495360","9606.ENSP00000339527",991,"FOXO3","CTNNB1"
"9606.ENSP00000495360","9606.ENSP00000269571",890,"ERBB2","CTNNB1"
"9606.ENSP00000495360","9606.ENSP00000361423",845,"ABL1","CTNNB1"
"9606.ENSP00000495360","9606.ENSP00000262367",994,"CREBBP","CTNNB1"
"9606.ENSP00000495951","9606.ENSP00000431418",982,"NTRK1","KITLG"
"9606.ENSP00000495951","9606.ENSP00000296870",942,"IL3","KITLG"
"9606.ENSP00000495951","9606.ENSP00000288135",999,"KIT","KITLG"
"9606.ENSP00000496577","9606.ENSP00000371067",998,"JAK2","SOCS1"
"9606.ENSP00000496577","9606.ENSP00000481249",940,"SOCS2","SOCS1"
"9606.ENSP00000496577","9606.ENSP00000330341",940,"SOCS3","SOCS1"
"9606.ENSP00000496577","9606.ENSP00000499900",995,"JAK1","SOCS1"
"9606.ENSP00000497102","9606.ENSP00000485129",957,"ICOSLG","CTLA4"
"9606.ENSP00000497102","9606.ENSP00000391592",936,"PTPN6","CTLA4"
"9606.ENSP00000497102","9606.ENSP00000489597",981,"PTPN11","CTLA4"
"9606.ENSP00000499900","9606.ENSP00000362195",898,"CSF3R","JAK1"
"9606.ENSP00000499900","9606.ENSP00000376345",806,"GRB2","JAK1"
"9606.ENSP00000499900","9606.ENSP00000489597",841,"PTPN11","JAK1"
"9606.ENSP00000499900","9606.ENSP00000496577",995,"SOCS1","JAK1"
"9606.ENSP00000499900","9606.ENSP00000276927",940,"IFNA1","JAK1"
"9606.ENSP00000499900","9606.ENSP00000354394",992,"STAT1","JAK1"
"9606.ENSP00000499900","9606.ENSP00000293328",942,"STAT5B","JAK1"
"9606.ENSP00000499900","9606.ENSP00000226730",914,"IL2","JAK1"
"9606.ENSP00000499900","9606.ENSP00000264657",994,"STAT3","JAK1"
"9606.ENSP00000499900","9606.ENSP00000428924",800,"LYN","JAK1"
"9606.ENSP00000499900","9606.ENSP00000222139",932,"EPOR","JAK1"
"9606.ENSP00000499900","9606.ENSP00000341208",949,"STAT5A","JAK1"
"9606.ENSP00000499900","9606.ENSP00000371067",998,"JAK2","JAK1"
"9606.ENSP00000499900","9606.ENSP00000391592",806,"PTPN6","JAK1"
"9606.ENSP00000499900","9606.ENSP00000275493",832,"EGFR","JAK1"
"9606.ENSP00000499900","9606.ENSP00000330341",998,"SOCS3","JAK1"
"9606.ENSP00000499900","9606.ENSP00000385675",871,"IL6","JAK1"
